class_group,gender,YOB,regret_choosing_bi,drop_bi_now,motivator,read_content_before_lecture,anticipate_test_questions,answer_rhetorical_questions,find_terms_I_do_not_know,copy_new_terms_in_reading_notebook,take_quizzes_and_use_results,reorganise_course_outline,write_down_important_points,space_out_revision,studying_in_study_group,schedule_appointments,goal_oriented,spaced_repetition,testing_and_active_recall,interleaving,categorizing,retrospective_timetable,cornell_notes,sq3r,commute,study_time,repeats_since_Y1,paid_tuition,free_tuition,extra_curricular,sports_extra_curricular,exercise_per_week,meditate,pray,internet,laptop,family_relationships,friendships,romantic_relationships,spiritual_wellnes,financial_wellness,health,day_out,night_out,alcohol_or_narcotics,mentor,mentor_meetings,A - 1. I am enjoying the subject,A - 2. Classes start and end on time,"A - 3. The learning environment is participative, involves learning by doing and is group-based",A - 4. The subject content is delivered according to the course outline and meets my expectations,A - 5. The topics are clear and logically developed,A - 6. I am developing my oral and writing skills,A - 7. I am developing my reflective and critical reasoning skills,A - 8. The assessment methods are assisting me to learn,A - 9. I receive relevant feedback,A - 10. I read the recommended readings and notes,A - 11. I use the eLearning material posted,B - 1. Concept 1 of 6: Principles of Business Intelligence and the DataOps Philosophy,B - 2. Concept 3 of 6: Linear Algorithms for Predictive Analytics,C - 2. Quizzes at the end of each concept,C - 3. Lab manuals that outline the steps to follow during the labs,C - 4. Required lab work submissions at the end of each lab manual that outline the activity to be done on your own,C - 5. Supplementary videos to watch,C - 6. Supplementary podcasts to listen to,C - 7. Supplementary content to read,C - 8. Lectures slides,C - 9. Lecture notes on some of the lecture slides,"C - 10. The quality of the lectures given (quality measured by the breadth (the full span of knowledge of a subject) and depth (the extent to which specific topics are focused upon, amplified, and explored) of learning - NOT quality measured by how fun/comical/lively the lectures are)",C - 11. The division of theory and practice such that most of the theory is done during the recorded online classes and most of the practice is done during the physical classes,C - 12. The recordings of online classes,D - 1. Write two things you like about the teaching and learning in this unit so far.,D - 2. Write at least one recommendation to improve the teaching and learning in this unit (for the remaining weeks in the semester),Average Course Evaluation Rating,Average Level of Learning Attained Rating,Average Pedagogical Strategy Effectiveness Rating,Project: Section 1-4: (20%) x/10,Project: Section 5-11: (50%) x/10,Project: Section 12: (30%) x/5,Project: (10%): x/30 x 100 TOTAL,Quiz 1 on Concept 1 (Introduction) x/32,Quiz 3 on Concept 3 (Linear) x/15,Quiz 4 on Concept 4 (Non-Linear) x/22,Quiz 5 on Concept 5 (Dashboarding) x/10,Quizzes and  Bonus Marks (7%): x/79 x 100 TOTAL,Lab 1 - 2.c. - (Simple Linear Regression) x/5,Lab 2 - 2.e. -  (Linear Regression using Gradient Descent) x/5,Lab 3 - 2.g. - (Logistic Regression using Gradient Descent) x/5,Lab 4 - 2.h. - (Linear Discriminant Analysis) x/5,Lab 5 - Chart JS Dashboard Setup x/5,Lab Work (7%) x/25 x 100,CAT 1 (8%): x/38 x 100,CAT 2 (8%): x/100 x 100,"Attendance Waiver Granted: 1 = Yes, 0 = No",Absenteeism Percentage,Coursework TOTAL: x/40 (40%),EXAM: x/60 (60%),TOTAL = Coursework TOTAL + EXAM (100%),GRADE
A,1,2000,0,0,1,5,4,5,3,5,4,5,5,4,4,3,0,3,4,2,3,4,4,2,4,2,4,0,0,1,1,2,1,3,1,1,5,5,3,4,4,5,1,0,0,1,2,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,It is well taught and the assessment are helping me learn,none.,4.8182,4.5,5,9,8.5,0,70,19.63,12,21.67,7.33,76.74,5,5,5,5,0,80,55.26,43,0,19.23,25.83,43,68.83,B
B,1,1999,0,0,1,3,3,3,3,4,4,4,5,3,4,2,1,3,3,2,3,3,4,3,4,3,4,0,0,1,1,2,0,3,1,1,4,4,0,4,2,3,2,3,0,1,2,5,5,5,5,5,5,5,4,5,5,5,4,5,4,3,3,4,3,4,3,4,3,4,3,It is very detailed and understandable ,it is already at its best,4.9091,4.5,3.4545,8.5,7.8,0,65.2,19.72,11,11.42,5,59.67,5,3,4.85,,0,51.4,63.15,,0,22.22,19.34,28,47.34,D
B,1,2001,0,1,1,1,5,3,5,5,1,4,5,1,1,1,0,1,4,2,4,1,2,4,4,1,8,0,0,0,0,1,0,1,1,1,4,3,4,2,3,3,0,0,1,0,0,4,5,4,5,5,5,5,5,5,4,5,4,4,5,5,5,4,4,4,5,5,5,5,5,systematic  well explained,Just a little flexibility in operations. e.g. make up CATs ,4.7273,4,4.7273,8.4,7,0,61.6,11.28,4.5,12.08,2.67,38.64,,,,4.45,0,17.8,,,0,11.11,10.11,44,54.11,C
B,1,1999,0,0,1,2,2,3,4,3,3,3,3,3,1,4,0,4,3,2,2,2,3,4,1,2,4,0,1,1,0,1,1,3,1,1,4,2,0,5,4,4,0,0,0,0,0,5,4,3,4,5,3,4,4,4,5,5,5,3,5,5,4,4,4,4,4,5,5,3,4,The lecturer is thorough in his work The notes provided are comprehensive and useful,The lecturer could be more lively and interactive in class as well as using examples that could help better understand concepts as they are complex,4.1818,4,4.2727,9,0,0,36,18.82,7,10.42,,45.87,4,5,4.85,,5,75.4,59.21,,0,3.7,16.82,24,40.82,D
A,1,1999,0,0,1,3,4,4,5,5,5,3,5,3,2,2,0,2,3,1,3,3,3,3,3,2,5,0,0,0,0,1,0,1,1,1,4,4,0,3,3,3,1,1,1,0,0,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,The unit is interesting and nice to learn  The unit has interesting labs,I am enjoying the course as it is,4.4545,5,4.7273,9,6,0,60,13.33,7,8.33,8.33,46.82,5,4,5,5,0,76,69.73,52,0,11.11,24.33,36,60.33,B
C,1,2000,0,0,1,2,3,4,3,3,3,3,3,2,3,2,0,2,2,2,2,2,2,2,3,2,4,0,0,0,0,2,0,2,1,1,4,4,0,4,3,4,1,1,1,0,0,3,5,5,5,4,4,4,5,4,4,4,3,3,5,5,5,5,5,5,5,3,5,5,5,It intuitive   and fun,Less complex slides,4.2727,3,4.8182,8.5,7.8,0,65.2,20.08,8,12.33,6.5,59.37,5,2.15,4.85,2.85,0,59.4,40.78,,0,22.22,18.09,,18.09,E
A,0,1999,0,0,1,2,3,3,3,3,3,2,3,2,1,1,0,1,2,1,1,1,1,1,4,1,2,0,1,0,0,0,0,1,0,1,4,4,3,3,3,3,1,0,0,0,0,5,4,3,4,4,3,4,4,4,5,5,4,4,5,5,5,4,1,1,5,4,4,3,3,I like the lab manuals and how the lecturer guides us on how to do them.,I would recommend the lecturer gives us some group work,4.0909,4,3.6364,8,3,0,44,8.32,5,12.92,6.33,41.22,5,3,4.85,,0,51.4,40.78,,1,29.63,14.14,44,58.14,C
C,1,2000,0,0,1,3,3,4,4,3,2,2,4,2,4,2,0,3,3,2,3,2,2,3,4,2,0,0,1,1,0,1,2,0,1,1,4,4,0,3,3,3,1,1,1,0,0,4,5,3,5,5,4,4,5,5,4,5,4,4,5,5,4,3,4,4,4,4,4,5,4,#NAME?,speak louder and audibly during the physical lessons,4.4545,4,4.1818,10,8,3.5,86,21.77,5,13.08,6,58.03,5,2.15,4.85,2.85,0,59.4,36.84,88,0,14.81,26.8,18,44.8,D
A,0,2000,0,0,1,3,2,3,5,5,5,5,5,3,1,5,1,4,4,2,4,2,1,1,4,2,5,0,0,1,0,0,0,1,1,1,4,4,3,4,4,3,1,1,1,1,1,5,5,4,4,4,3,3,5,4,5,5,5,5,5,5,5,4,4,5,4,5,4,3,3,It's very detailed ,Nothing much ,4.2727,5,4.2727,8.5,7.8,0,65.2,13.02,11,14.33,,48.54,5,4.5,5,4.85,0,77.4,,,1,22.22,15.33,36,51.33,C
C,1,2000,0,0,1,3,3,4,4,4,5,3,4,2,3,2,0,3,3,2,2,3,4,4,4,2,2,0,0,1,0,1,0,2,1,1,4,4,4,3,3,5,0,0,0,0,0,3,5,4,5,5,3,3,4,4,5,5,4,2,4,4,5,3,3,3,5,5,4,5,5,1. Classes start and end on time  2 Communcation is done prior which gives me time to prepare for incoming activities,The class to be more engaging,4.1818,3,4.1818,7.4,8,2,69.6,9.42,10,11.33,7.67,48.63,5,3.45,2.85,5,5,85.2,55.26,60,0,11.11,25.54,20,45.54,D
